date,temperature,wind_speed,electricity_demand,PriceArea,electricity_price,day_of_week,month,day_of_year
2020-03-29,2.3,28.3,2935.48,DK1,4.44,6,3,89
2020-03-29,2.3,28.3,2935.48,DK2,4.44,6,3,89
2020-03-30,3.4,17.1,3163.71,DK1,15.94,0,3,90
2020-03-30,3.4,17.1,3163.71,DK2,19.65,0,3,90
2020-03-31,3.1,15.7,3271.91,DK1,19.91,1,3,91
2020-03-31,3.1,15.7,3271.91,DK2,19.91,1,3,91
2020-04-01,6.2,26.8,3195.25,DK1,4.31,2,4,92
2020-04-01,6.2,26.8,3195.25,DK2,4.31,2,4,92
2020-04-02,6.5,34.2,3193.99,DK1,4.15,3,4,93
2020-04-02,6.5,34.2,3193.99,DK2,4.15,3,4,93
2020-04-03,4.8,31.4,3250.96,DK1,3.32,4,4,94
2020-04-03,4.8,31.4,3250.96,DK2,3.32,4,4,94
2020-04-04,5.3,15.3,2985.13,DK1,21.1,5,4,95
2020-04-04,5.3,15.3,2985.13,DK2,21.1,5,4,95
2020-04-05,7.1,17.6,2864.29,DK1,9.82,6,4,96
2020-04-05,7.1,17.6,2864.29,DK2,9.82,6,4,96
2020-04-06,8.8,21.3,2995.04,DK1,4.04,0,4,97
2020-04-06,8.8,21.3,2995.04,DK2,6.34,0,4,97
2020-04-07,9.8,16.3,2860.08,DK1,20.5,1,4,98
2020-04-07,9.8,16.3,2860.08,DK2,20.5,1,4,98
2020-04-08,7.9,14.6,2931.81,DK1,19.34,2,4,99
2020-04-08,7.9,14.6,2931.81,DK2,19.719999,2,4,99
2020-04-09,7.7,18.4,2764.62,DK1,6.72,3,4,100
2020-04-09,7.7,18.4,2764.62,DK2,21.08,3,4,100
2020-04-10,5.9,10.4,2760.58,DK1,21.040001,4,4,101
2020-04-10,5.9,10.4,2760.58,DK2,22.0,4,4,101
2020-04-11,6.6,12.9,2795.51,DK1,20.1,5,4,102
2020-04-11,6.6,12.9,2795.51,DK2,20.1,5,4,102
2020-04-12,10.9,23.2,2726.08,DK1,4.11,6,4,103
2020-04-12,10.9,23.2,2726.08,DK2,6.01,6,4,103
2020-04-13,5.5,27.0,2784.08,DK1,1.72,0,4,104
2020-04-13,5.5,27.0,2784.08,DK2,1.72,0,4,104
2020-04-14,5.9,21.7,2988.35,DK1,3.9,1,4,105
2020-04-14,5.9,21.7,2988.35,DK2,3.9,1,4,105
2020-04-15,8.8,28.5,3072.53,DK1,3.62,2,4,106
2020-04-15,8.8,28.5,3072.53,DK2,3.62,2,4,106
2020-04-16,8.5,22.5,2915.5,DK1,3.14,3,4,107
2020-04-16,8.5,22.5,2915.5,DK2,3.14,3,4,107
2020-04-17,6.9,10.6,3080.69,DK1,20.139999,4,4,108
2020-04-17,6.9,10.6,3080.69,DK2,20.139999,4,4,108
2020-04-18,6.9,11.6,2921.11,DK1,18.59,5,4,109
2020-04-18,6.9,11.6,2921.11,DK2,18.59,5,4,109
2020-04-19,7.6,9.2,2741.23,DK1,12.12,6,4,110
2020-04-19,7.6,9.2,2741.23,DK2,12.12,6,4,110
2020-04-20,8.0,9.1,2884.69,DK1,3.72,0,4,111
2020-04-20,8.0,9.1,2884.69,DK2,3.78,0,4,111
2020-04-21,9.3,10.3,2926.12,DK1,3.94,1,4,112
2020-04-21,9.3,10.3,2926.12,DK2,4.07,1,4,112
